Key,zh_CN,zh_TW,en_US,ja_JP
MENU_TITLE,麻将方块 108,麻將方塊 108,,マートリス 108
MENU_START,开始游戏,開始遊戲,START GAME,ゲーム開始
MENU_DIFFICULTY_COLON,难度：,難度：,LEVEL: ,難易度：
MENU_ITEM_PROTOCOL,道具 · 条约,道具 · 條約,ITEM & PROTOCOL,アイテム・条約
MENU_ACHIEVEMENT,成就,成就,ACHIEVEMENT,実績
MENU_SCORE_RECORD_COLON,最高分：,最高分：,RECORD: ,ベスト：
MENU_EASY,新手,新手,NEWBIE,入門
MENU_NORMAL,专家,專家,EXPERT,玄人
MENU_HARD,大师,大師,MASTER,達人
MENU_UNMATCHED,天下无双,天下無雙,APEX,天下無双
MENU_FUNCTION_UNLOCK,功能解锁,功能解鎖,FUNCTION UNLOCKED,機能解放
MENU_FUNCTION_UNLOCK_DES,已解锁全部道具和条约，现在游戏中可以使用金币来刷新奖励了！,已解鎖全部道具和條約，現在遊戲中可以使用金幣來刷新獎勵了！,All Items and Protocols are unlocked! You can now use Coin to Refresh Mahjong rewards.,全アイテムと条約が解放されました。コインで報酬を更新（リフレッシュ）できます！
MENU_FUNCTION_UNLOCK_CONFIRM,确认,確認,Confirm,確認
DIFFICULTY_TITLE,难度,難度,GAME LEVEL,難易度
DIFFICULTY_EASY,新手,新手,NEWBIE,入門
DIFFICULTY_NORMAL,专家,專家,EXPERT,玄人
DIFFICULTY_HARD,大师,大師,MASTER,達人
DIFFICULTY_UNMATCHED,天下无双,天下無雙,APEX,天下無双
DIFFICULTY_GOAL,目标,目標,GOAL,目標
DIFFICULTY_REWARDS,总奖金,總獎金,Total Prize,総賞金
DIFFICULTY_INITIAL,初始状态,初始狀態,INITIAL STATE,初期ステータス
DIFFICULTY_TIME,游戏时间,遊戲時間,Game Time,ゲーム時間
DIFFICULTY_SPEED,方块速度,方塊速度,Block Speed,ブロック速度
DIFFICULTY_ITEM,初始道具,初始道具,Initial Item,初期アイテム
DIFFICULTY_PROTOCOL,初始条约,初始條約,Initial Protocol,初期条約
DIFFICULTY_BLOCK,初始方块,初始方塊,INITIAL BLOCKS,初期ブロック
DIFFICULTY_SELECT,选择,選擇,SELECT,選択
DIFFICULTY_SELECTED,已选择,已選擇,SELECTED,選択中
DIFFICULTY_NORMAL_CONDITION,通关一局【新手】难度游戏即可解锁,通關一局【新手】難度遊戲即可解鎖,Clear [NEWBIE] difficulty to unlock,[入門]をクリアでアンロック
DIFFICULTY_HARD_CONDITION,通关一局【专家】难度游戏即可解锁,通關一局【專家】難度遊戲即可解鎖,Clear [EXPERT] difficulty to unlock,[玄人]をクリアでアンロック
DIFFICULTY_UNMATCHED_CONDITION,通关一局【大师】难度游戏即可解锁,通關一局【大師】難度遊戲即可解鎖,Clear [MASTER] difficulty to unlock,[達人]をクリアでアンロック
ITEM_PROTOCOL_TITLE,道具 · 条约,道具 · 條約,ITEM & PROTOCOL,アイテム・条約
ITEM_PROTOCOL_ITEM,道具,道具,ITEM,アイテム
ITEM_PROTOCOL_PROTOCOL,条约,條約,PROTOCOL,条約
ITEM_PROTOCOL_LACK_GOLD,金币不足,金幣不足,Not enough Coins,コイン不足
ITEM_PROTOCOL_UNLOCK_CONDITION,解锁{0}个{1}后显示,解鎖 {0} 個 {1} 後顯示,Revealed when {0} {1} unlocked,{0}個の{1}をアンロックで表示
ITEM_PROTOCOL_CONFIRM,确认,確定,CONFIRM,決定
ITEM_PROTOCOL_INFO,解锁道具和条约后即可在胡牌奖励中出现,解鎖道具和條約後即可在胡牌獎勵中出現,Unlocked Items and Protocols can appear in Mahjong Rewards,解放後、アイテムと条約が和了報酬に出現します
ACHIEVEMENT_ACHIEVEMENT,成就,成就,ACHIEVEMENT,実績
INTRODUCTION_TITLE,说明,說明,GUIDE,ヘルプ
INTRODUCTION_INTRODUCTION,游戏说明,遊戲說明,HOW TO PLAY,遊び方
INTRODUCTION_TYPE,麻将牌型,麻將牌型,HAND TYPE,アガリ役
SETTING_TITLE,设置,設定,SETTING,設定
SETTING_BGM,音乐,音樂,MUSIC,BGM
SETTING_SOUND_EFFECT,音效,音效,SFX,SE
SETTING_FULL_SCREEN,全屏,全螢幕,FULLSCREEN,全画面
SETTING_LANGUAGE,语言,語言,LANGUAGE,言語
SETTING_SIMPLIFIED_CHINESE,简体中文,簡體中文,Simplifed Chinese,簡体字
SETTING_TRADITIONAL_CHINESE,繁体中文,繁體中文,Traditional Chinese,繁体字
SETTING_ENGLISH,英语,英語,English,英語
SETTING_JAPANESE,日语,日語,Japanese,日本語
GAME_SCORE,得分,得分,SCORE,スコア
GAME_ENDLESS,无尽模式,無盡模式,ENDLESS MODE,エンドレス
GAME_BASE_SCORE,基础分,基礎分,BASE POINT,基礎点
GAME_BLOCK_MULTI,方块倍率,方塊倍率,BLOCK MULT.,ブロック倍率
GAME_EXTRA_MULTI,额外倍率,額外倍率,EXTRA MULT.,追加倍率
GAME_BLOCK_LIST,方块列表,方塊列表,BLOCK LIST,ブロックリスト
GAME_LOOP,第{0}圈 {1}/{2}轮,第{0}圈 {1}/{2}輪,Streak {0} Round {1}/{2},{0}周目 {1}/{2}局
GAME_NEXT,下一个,下一個,NEXT,NEXT
GAME_DECK,牌库,牌庫,DECK,山牌
GAME_HU_ZONE,胡牌准备区,胡牌準備區,MAHJONG AREA,副露エリア
GAME_PROTOCOL,条约,條約,PROTOCOL,条約
GAME_ITEM,道具,道具,ITEM,アイテム
GAME_LACK,缺牌,缺牌,LACK,不足
GAME_GOAL,目标,目標,GOAL,目標
DECK_TITLE,牌库,牌庫,DECK,山牌
DECK_TONG,筒,筒,TONG,筒子
DECK_WAN,万,萬,WAN,萬子
DECK_TIAO,条,索,TIAO,索子
TYPE_TITLE,牌型列表,牌型列表,HAND TYPE,役一覧
PAUSE_PAUSED,游戏暂停,遊戲暫停,GAME PAUSED,ポーズ
PAUSE_CONTINUE,继续游戏,繼續遊戲,CONTINUE,ゲーム再開
PAUSE_ENDGAME,结束游戏,結束遊戲,END GAME,ゲーム終了
GAME_OVER_LOSE,游 戏 结 束,遊 戲 結 束,GAME OVER,ゲームオーバー
GAME_OVER_CLEAR,恭 喜 过 关,恭 喜 過 關,STAGE CLEAR!!,ステージクリア
GAME_OVER_SCORE,得分,得分,SCORE,スコア
GAME_OVER_NEW_RECORD,最高分,最高分,NEW RECORD,新記録
GAME_OVER_BACK_TO_MENU,返回主菜单,返回主菜單,MAIN MENU,メニューへ
