Key,zh_CN,zh_TW,en_US,ja_JP
MENU_TITLE,麻将方块 108,麻將方塊 108,MAHTRIS 108,マートリス 108
MENU_START,开始游戏,開始遊戲,START GAME,ゲーム開始
MENU_DIFFICULTY_COLON,难度：,難度：,DIFFICULTY: ,難易度：
MENU_ITEM_PROTOCOL,道具 · 条约,道具 · 條約,ITEM & PROTOCOL,アイテム・条約
MENU_ACHIEVEMENT,成就,成就,ACHIEVEMENT,実績
MENU_SCORE_RECORD_COLON,最高分：,最高分：,RECORD: ,ベスト：
MENU_EASY,新手,新手,NEWBIE,入門
MENU_NORMAL,专家,專家,EXPERT,玄人
MENU_HARD,大师,大師,MASTER,達人
DIFFICULTY_TITLE,难度,難度,DIFFICULTY,難易度
DIFFICULTY_EASY,新手,新手,NEWBIE,入門
DIFFICULTY_NORMAL,专家,專家,EXPERT,玄人
DIFFICULTY_HARD,大师,大師,MASTER,達人
DIFFICULTY_TARGET_REWARDS,目标 · 奖励,目標 · 獎勵,GOAL & REWARD,目標・報酬
DIFFICULTY_INITIAL,初始状态,初始狀態,INITIAL STATE,初期ステータス
DIFFICULTY_SPEED,速度,速度,SPEED,速度
DIFFICULTY_ITEM,道具,道具,ITEM,アイテム
DIFFICULTY_PROTOCOL,条约,條約,PROTOCOL,条約
DIFFICULTY_BLOCK,初始方块,初始方塊,INITIAL BLOCKS,初期ブロック
DIFFICULTY_SELECT,选择,選擇,SELECT,選択
DIFFICULTY_SELECTED,已选择,已選擇,SELECTED,選択中
DIFFICULTY_NORMAL_CONDITION,通关一局【新手】难度游戏即可解锁,通關一局【新手】難度遊戲即可解鎖,Clear [NEWBIE] difficulty to unlock,[入門]をクリアでアンロック
DIFFICULTY_HARD_CONDITION,通关一局【专家】难度游戏即可解锁,通關一局【專家】難度遊戲即可解鎖,Clear [EXPERT] difficulty to unlock,[玄人]をクリアでアンロック
ITEM_PROTOCOL_TITLE,道具 · 条约,道具 · 條約,ITEM & PROTOCOL,アイテム・条約
ITEM_PROTOCOL_ITEM,道具,道具,ITEM,アイテム
ITEM_PROTOCOL_PROTOCOL,条约,條約,PROTOCOL,条約
ITEM_PROTOCOL_LACK_GOLD,金币不足,金幣不足,Not enough coins,コイン不足
ITEM_PROTOCOL_UNLOCK_CONDITION,解锁{0}个{1}后显示,解鎖 {0} 個 {1} 後顯示,Revealed when {0} {1} unlocked,{0}個の{1}をアンロックで表示
ACHIEVEMENT_ACHIEVEMENT,成就,成就,ACHIEVEMENT,実績
INTRODUCTION_TITLE,说明,說明,GUIDE,ヘルプ
INTRODUCTION_INTRODUCTION,游戏说明,遊戲說明,HOW TO PLAY,遊び方
INTRODUCTION_TYPE,麻将牌型,麻將牌型,HAND TYPE,アガリ役
SETTING_TITLE,设置,設定,SETTING,設定
SETTING_BGM,音乐,音樂,MUSIC,BGM
SETTING_SOUND_EFFECT,音效,音效,SFX,SE
SETTING_FULL_SCREEN,全屏,全螢幕,FULLSCREEN,全画面
SETTING_LANGUAGE,语言,語言,LANGUAGE,言語
SETTING_SIMPLIFIED_CHINESE,简体中文,簡體中文,Simplifed Chinese,簡体字
SETTING_TRADITIONAL_CHINESE,繁体中文,繁體中文,Traditional Chinese,繁体字
SETTING_ENGLISH,英语,英語,English,英語
SETTING_JAPANESE,日语,日語,Japanese,日本語
GAME_SCORE,得分,得分,SCORE,スコア
GAME_ENDLESS,无尽模式,無盡模式,ENDLESS MODE,エンドレス
GAME_BASE_SCORE,基础分,基礎分,BASE SCORE,基礎点
GAME_BLOCK_MULTI,方块倍率,方塊倍率,BLOCK MULT.,ブロック倍率
GAME_EXTRA_MULTI,额外倍率,額外倍率,EXTRA MULT.,追加倍率
GAME_BLOCK_LIST,方块列表,方塊列表,BLOCK LIST,ブロックリスト
GAME_NEXT,下一个,下一個,NEXT,NEXT
GAME_DECK,牌库,牌庫,DECK,山牌
GAME_HU_ZONE,胡牌区,胡牌區,HU ZONE,アガリ牌
GAME_PROTOCOL,条约,條約,PROTOCOL,条約
GAME_ITEM,道具,道具,ITEM,アイテム
GAME_PAUSED,已暂停,已暫停,PAUSED,一時停止
DECK_TITLE,牌库,牌庫,DECK,山牌
DECK_TONG,筒,筒,BOT,筒子
DECK_WAN,万,萬,CHARACTER,萬子
DECK_TIAO,条,索,BAMBOO,索子
TYPE_TITLE,牌型列表,牌型列表,HAND TYPE,役一覧
GAME_OVER_TITLE,游戏结束,遊戲結束,GAME OVER,ゲームオーバー
GAME_OVER_NEW_RECORD,最高分,最高分,NEW RECORD,新記録
GAME_OVER_BACK_TO_MENU,返回主菜单,返回主菜單,MAIN MENU,メニューへ
GAME_OVER_ENDLESS,无尽模式,無盡模式,ENDLESS MODE,エンドレス
HU_CONTINUE,继续,繼續,CONTINUE,次へ
HU_TITLE,请选择奖励,請選擇獎勵,SELECT REWARDS,報酬選択
HU_BLOCK,方块,方塊,BLOCK,ブロック
HU_ITEM,道具,道具,ITEM,アイテム
HU_ADVANCED_ITEM,高级道具,高級道具,ADVANCED ITEM,レアアイテム
HU_PROTOCOL,条约,條約,PROTOCOL,条約
HU_NEXT_ROUND,开始下一轮,開始下一輪,NEXT ROUND,次のラウンドへ
TIP_ITEM,道具,道具,ITEM,アイテム
TIP_ADVANCED_ITEM,高级道具,高級道具,ADVANCED ITEM,高級アイテム
TIP_PROTOCOL,条约,條約,PROTOCOL,条約
ITEM_BOMB_NAME,炸弹,炸彈,BOMB,爆弾
ITEM_BOMB_DES,强行消除底下2行方块,強行消除底下2行方塊,Force clear bottom 2 lines,最下段の2列を強制消去する
HU_TYPE_TIAN,天胡,天胡,Heavenly Hand,天和
HU_TYPE_DI,地胡,地胡,Earthly Hand,地和
HU_TYPE_QINGYISE,清一色,清一色,Full Flush,清一色
HU_TYPE_DUIDUI,对对,對對,All Triplets,対々
HU_TYPE_LAOTOU,老头,老頭,All Terminals,老頭
HU_TYPE_YIQITONGGUAN,一气通贯,一氣通貫,Pure Straight,一気通貫
HU_TYPE_SANSETONGSHUN,三色同顺,三色同順,Three Color Straight,三色同順
HU_TYPE_PING,平胡,平胡,Basic Hand,基本形
HU_TYPE_UNKNOWN,未知牌型,未知牌型,Unknown Hand,未知の役
